refugees_tot,asylum_ctry_code,region_origin,old_ctry_origin,region_asylum,origin_ctry_code,sub_region_asylum, new_id,total_refugees_refugee_like_assisted_unhcr,origin_ctry,refugees_assisted_unhcr,year,sub_region_origin,old_ctry_asylum,total_refugees_refugee_like_situations,asylum_ctry
,CRI,NULL,Various,The Americas,NULL,Latin America,5816,2508,Various,,2008,NULL,Costa Rica,6213,Costa Rica
,ROU,NULL,Stateless,Europe,NULL,Central Europe,24771,3,Stateless,3,2004,NULL,Romania,,Romania
,ROU,NULL,Stateless,Europe,NULL,Central Europe,28641,1,Stateless,1,2003,NULL,Romania,,Romania
,GRC,NULL,Various,Europe,NULL,Northern Western and Southern Europe,34746,2429,Various,2429,2001,NULL,Greece,,Greece
,ISR,NULL,Various,Middle East and North Africa,NULL,Middle East,34994,170,Various,170,2001,NULL,Israel,,Israel
,ROU,NULL,Stateless,Europe,NULL,Central Europe,35854,1,Stateless,1,2001,NULL,Romania,,Romania
,ROU,NULL,Stateless,Europe,NULL,Central Europe,39018,1,Stateless,1,2000,NULL,Romania,,Romania
,KGZ,Europe,Russian Federation,Asia and the Pacific,RUS,Central Asia,2458,0,Russian Federation,,2009,Eastern Europe,Kyrgyzstan,0,Kyrgyzstan
,MYS,Middle East and North Africa,Lebanon,Asia and the Pacific,LBN,South-East Asia,2631,1,Lebanon,,2009,Middle East,Malaysia,1,Malaysia
,MYS,Asia and the Pacific,Philippines,Asia and the Pacific,PHL,South-East Asia,2638,1,Philippines,,2009,South-East Asia,Malaysia,1,Malaysia
,NZL,Europe,Bosnia and Herzegovina,Asia and the Pacific,BIH,East Asia and the Pacific,3025,0,Bosnia and Herzegovina,,2009,South-Eastern Europe,New Zealand,0,New Zealand
,KWT,Africa,Somalia,Middle East and North Africa,SOM,Middle East,7124,,Somalia,,2008,East and Horn of Africa,Kuwait,2000,Kuwait
,LBN,Asia and the Pacific,Philippines,Middle East and North Africa,PHL,Middle East,7156,,Philippines,,2008,South-East Asia,Lebanon,7,Lebanon
,LBN,Europe,Romania,Middle East and North Africa,ROU,Middle East,7157,,Romania,,2008,Central Europe,Lebanon,1,Lebanon
,LBN,Asia and the Pacific,Sri Lanka,Middle East and North Africa,LKA,Middle East,7161,,Sri Lanka,,2008,South Asia,Lebanon,7,Lebanon
,LBR,Africa,Burkina Faso,Africa,BFA,West Africa,7171,4,Burkina Faso,,2008,West Africa,Liberia,4,Liberia
,LBR,Africa,Ghana,Africa,GHA,West Africa,7176,2,Ghana,,2008,West Africa,Liberia,2,Liberia
,LBR,Africa,Nigeria,Africa,NGA,West Africa,7179,1,Nigeria,,2008,West Africa,Liberia,1,Liberia
,MYS,Middle East and North Africa,Lebanon,Asia and the Pacific,LBN,South-East Asia,7264,1,Lebanon,,2008,Middle East,Malaysia,1,Malaysia
,MYS,Asia and the Pacific,Philippines,Asia and the Pacific,PHL,South-East Asia,7271,1,Philippines,,2008,South-East Asia,Malaysia,1,Malaysia
,MRT,Middle East and North Africa,Western Sahara,Middle East and North Africa,ESH,North Africa,7354,,Western Sahara,,2008,North Africa,Mauritania,26000,Mauritania
,BLR,Asia and the Pacific,Turkmenistan,Europe,TKM,Eastern Europe,9643,1,Turkmenistan,1,2007,Central Asia,Belarus,,Belarus
,KGZ,Asia and the Pacific,Tajikistan,Asia and the Pacific,TJK,Central Asia,11594,353,Tajikistan,,2007,Central Asia,Kyrgyzstan,353,Kyrgyzstan
,LBN,Africa,Ethiopia,Middle East and North Africa,ETH,Middle East,11611,,Ethiopia,,2007,East and Horn of Africa,Lebanon,15,Lebanon
,LBN,Africa,Ghana,Middle East and North Africa,GHA,Middle East,11612,,Ghana,,2007,West Africa,Lebanon,1,Lebanon
,LBN,Asia and the Pacific,Philippines,Middle East and North Africa,PHL,Middle East,11620,,Philippines,,2007,South-East Asia,Lebanon,3,Lebanon
,LBN,Asia and the Pacific,Sri Lanka,Middle East and North Africa,LKA,Middle East,11624,,Sri Lanka,,2007,South Asia,Lebanon,4,Lebanon
,LBR,Africa,Burkina Faso,Africa,BFA,West Africa,11633,4,Burkina Faso,,2007,West Africa,Liberia,4,Liberia
,LBR,Africa,Ghana,Africa,GHA,West Africa,11637,2,Ghana,,2007,West Africa,Liberia,2,Liberia
,LBR,Africa,Nigeria,Africa,NGA,West Africa,11639,1,Nigeria,,2007,West Africa,Liberia,1,Liberia
,MYS,Asia and the Pacific,India,Asia and the Pacific,IND,South-East Asia,11718,,India,,2007,South Asia,Malaysia,3,Malaysia
,MYS,Middle East and North Africa,Lebanon,Asia and the Pacific,LBN,South-East Asia,11723,,Lebanon,,2007,Middle East,Malaysia,1,Malaysia
,MRT,Africa,Mali,Middle East and North Africa,MLI,North Africa,11794,,Mali,,2007,West Africa,Mauritania,3500,Mauritania
,MRT,Middle East and North Africa,Western Sahara,Middle East and North Africa,ESH,North Africa,11802,,Western Sahara,,2007,North Africa,Mauritania,26000,Mauritania
,GRC,Middle East and North Africa,Libyan Arab Jamahiriya,Europe,LBY,Northern Western and Southern Europe,23464,1,Libyan Arab Jamahiriya,1,2004,North Africa,Greece,,Greece
,MEX,Africa,Somalia,The Americas,SOM,Latin America,24109,11,Somalia,11,2004,East and Horn of Africa,Mexico,,Mexico
,NIC,Europe,Russian Federation,The Americas,RUS,Latin America,24397,1,Russian Federation,1,2004,Eastern Europe,Nicaragua,,Nicaragua
,CRI,NULL,Various,The Americas,NULL,Latin America,10293,,Various,,2007,NULL,Costa Rica,5586,Costa Rica
,ROU,The Americas,Cuba,Europe,CUB,Central Europe,24739,1,Cuba,1,2004,Latin America,Romania,,Romania
,KGZ,Asia and the Pacific,Sri Lanka,Asia and the Pacific,LKA,Central Asia,27845,1,Sri Lanka,1,2003,South Asia,Kyrgyzstan,,Kyrgyzstan
,ROU,Africa,Rwanda,Europe,RWA,Central Europe,28636,2,Rwanda,2,2003,Central Africa and the Great Lakes,Romania,,Romania
,COL,The Americas,Chile,The Americas,CHL,Latin America,30498,4,Chile,4,2002,Latin America,Colombia,,Colombia
,MYS,Asia and the Pacific,Sri Lanka,Asia and the Pacific,LKA,South-East Asia,31755,2,Sri Lanka,2,2002,South Asia,Malaysia,,Malaysia
,PAN,Africa,Sierra Leone,The Americas,SLE,Latin America,32249,1,Sierra Leone,1,2002,West Africa,Panama,,Panama
,ROU,Middle East and North Africa,Jordan,Europe,JOR,Central Europe,35840,1,Jordan,1,2001,Middle East,Romania,,Romania
,ROU,Middle East and North Africa,Mauritania,Europe,MRT,Central Europe,35844,1,Mauritania,1,2001,North Africa,Romania,,Romania
,ZAF,Africa,Zimbabwe,Africa,ZWE,Southern Africa,36000,5,Zimbabwe,5,2001,Southern Africa,South Africa,,South Africa
,DZA,Europe,Bosnia and Herzegovina,Middle East and North Africa,BIH,North Africa,36710,1,Bosnia and Herzegovina,1,2000,South-Eastern Europe,Algeria,,Algeria
,ROU,Middle East and North Africa,Jordan,Europe,JOR,Central Europe,39004,1,Jordan,1,2000,Middle East,Romania,,Romania
,ROU,Middle East and North Africa,Mauritania,Europe,MRT,Central Europe,39008,1,Mauritania,1,2000,North Africa,Romania,,Romania
,MKD,Europe,Bosnia and Herzegovina,Europe,BIH,South-Eastern Europe,4170,21,Bosnia and Herzegovina,,2009,South-Eastern Europe,TfYR Macedonia,21,The former Yugoslav Republic of Macedonia
,MKD,Europe,Bosnia and Herzegovina,Europe,BIH,South-Eastern Europe,8702,,Bosnia and Herzegovina,,2008,South-Eastern Europe,TfYR Macedonia,21,The former Yugoslav Republic of Macedonia
,KWT,Middle East and North Africa,Occupied Palestinian Territory,Middle East and North Africa,PSE,Middle East,2451,0,Gaza strip,,2009,Middle East,Kuwait,0,Kuwait
,KWT,Middle East and North Africa,Occupied Palestinian Territory,Middle East and North Africa,PSE,Middle East,7123,111,Gaza strip,,2008,Middle East,Kuwait,6000,Kuwait
,KWT,Middle East and North Africa,Occupied Palestinian Territory,Middle East and North Africa,PSE,Middle East,11585,104,Gaza strip,,2007,Middle East,Kuwait,6000,Kuwait
